mol_id,smiles,ester,phenyl,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC56221216,Cc1csc2[nH+]c(CS[C@H](C)c3cc(F)ccc3F)cc(=O)n12,0,0,True,False,False,False,False,False,True
ZINC91692527,OC1(C2CCC2)COC1,0,0,True,False,False,False,False,False,True
ZINC05377193,C=CCC#CCOCCC#N,0,0,True,False,False,False,False,False,True
ZINC01244402,Nc1nc(N)[n+]([O-])c(N)c1N,0,0,True,False,False,False,False,False,True
ZINC17002993,CC(=N/N=C(N)N)/C(C)=N/NC(=N)N,0,0,True,False,False,False,False,False,True
ZINC21983179,O=C([O-])CC[C@](CC(=O)[O-])(C(=O)[O-])[P@@](=O)([O-])O,0,0,True,False,False,False,False,False,True
ZINC33791186,N[C@@H]1NC=CC=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC01584580,CCCCCCCCCCC[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC95922035,C#CC1=CC=C(C#C)CC1,0,0,True,False,False,False,False,False,True
ZINC19366615,[NH3+]CCN1CC1,0,0,True,False,False,False,False,False,True
ZINC01230486,Oc1c(Br)cc(Br)cc1/C=N/c1ccc(Cl)c2cccnc12,0,0,True,False,False,False,False,False,True
ZINC04720905,C[C@]12S[C@]3(C)S[C@](C)(S1)S[C@](C)(S2)S3,0,0,True,False,False,False,False,False,True
ZINC05112678,O[C@H]([C@H](O)C(F)(F)F)[C@@H](O)[C@@H](O)C=S,0,0,True,False,False,False,False,False,True
ZINC93561442,COCCCO[C@H]1CC[N@H+](Cc2nc3c(s2)C[C@H](C)CC3)CC1,0,0,True,False,False,False,False,False,True
ZINC02390110,S=C=NCCCl,0,0,True,False,False,False,False,False,True
ZINC39095861,C1[NH2+][C@@H]2[C@H]1[C@H]1NNC[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC04016857,Cn1nc(C#CC(C)(C)O)c(C#CC(C)(C)O)c1C#CC(C)(C)O,0,0,True,False,False,False,False,False,True
ZINC06562334,O=C1CSC(NC2=NNC(=O)SC2)=NN1,0,0,True,False,False,False,False,False,True
ZINC96332102,CC#C[C@H](C)O[C@@H](C)C#CC,0,0,True,False,False,False,False,False,True
ZINC64219076,N[C@H]1[C@H](O)O[C@@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC03971283,COc1ccc(NN=C2C(=[NH2+])NNC2=[NH2+])cc1,0,0,True,False,False,False,False,False,True
ZINC96298365,CS(=O)(=O)CCSC/C=C\CSCCS(C)(=O)=O,0,0,True,False,False,False,False,False,True
ZINC95757014,FC1=CC2=C(I)N=N[C@H]2C=C1F,0,0,True,False,False,False,False,False,True
ZINC68591026,F[C@@H](Cl)[C@@]1(F)C=CC(F)(F)O1,0,0,True,False,False,False,False,False,True
ZINC33351162,O=S1(=O)C[C@@H](O)[C@@H]([NH2+]CCNC(=S)[S-])C1,0,0,True,False,False,False,False,False,True
ZINC20459372,N#CC1=C(N)S[C@@H](c2cccs2)C(C#N)=C1N,0,0,True,False,False,False,False,False,True
ZINC13636922,O=[N+]([O-])c1ccc(O)c2c1[C@H]1C=CC[C@@H]1[C@H](c1ccc(O)cc1)N2,0,0,True,False,False,False,False,False,True
ZINC12402966,C[C@@H]1O[C@@H](C(Cl)(Cl)Cl)O[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC40146683,O=S(=O)([N-]c1ccc(-c2cnco2)cc1)c1ccc(C(F)(F)F)cc1,0,0,True,False,False,False,False,False,True
ZINC72199658,N[C@H](CO)c1c(F)c(F)c(F)c(Br)c1F,0,0,True,False,False,False,False,False,True
ZINC39095561,C1=NO[C@@H]2C=NN3C[C@@H]3[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC19169240,C[C@@H]1C[C@H](N[NH+](C)C)C(C#N)(C#N)[C@H](C)C1(C#N)C#N,0,0,True,False,False,False,False,False,True
