mol_id,smiles,ester,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC92486994,CC[C@H]1CN(Cc2ccc(C)o2)C[C@H](C)O1,0,0,True,False,False,False,False,False,True
ZINC03872449,FC(F)OC(F)(F)[C@H](F)Cl,0,0,True,False,False,False,False,False,True
ZINC00895391,C#CC(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC97950844,N[C@@H]1N=NNN1,0,0,True,False,False,False,False,False,True
ZINC05063745,C=CC[N+](CC=C)(CC=C)C/C=C/C[N+](CC=C)(CC=C)CC=C,0,0,True,False,False,False,False,False,True
ZINC04720905,C[C@]12S[C@]3(C)S[C@](C)(S1)S[C@](C)(S2)S3,0,0,True,False,False,False,False,False,True
ZINC02507981,C1#CCCCCC#CCCCC1,0,0,True,False,False,False,False,False,True
ZINC71973565,NC(=[NH2+])NCC[NH2+]CCCO,0,0,True,False,False,False,False,False,True
ZINC34332711,O[C@@H]1[C@@H](F)C[N@H+]2CC[C@H](O)[C@@H]2[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC05783717,Brc1ncnc2nc[n-]c12,0,0,True,False,False,False,False,False,True
ZINC88187515,CC(C)(CBr)CC#N,0,0,True,False,False,False,False,False,True
ZINC04727566,O=c1[nH]c(/C=C/c2ccsc2)c([N+](=O)[O-])c(=O)[nH]1,0,0,True,False,False,False,False,False,True
ZINC54930154,C[C@H]([NH3+])[C@@H](C)S(C)(=O)=O,0,0,True,False,False,False,False,False,True
ZINC02386850,CN(C)C(Cl)=[N+](C)C,0,0,True,False,False,False,False,False,True
ZINC01648244,CNc1[nH+]c2c(c(=O)n(C)c(=O)n2C)n1C,0,0,True,False,False,False,False,False,True
ZINC96334490,CC[P@@](=S)(OC)SCSCS[P@](O)(=S)CC,0,0,True,False,False,False,False,False,True
ZINC18354955,NC1=[NH+]CCS1,0,0,True,False,False,False,False,False,True
ZINC45028146,O=S1(=O)C=CC[C@H](Br)C=C1,0,0,True,False,False,False,False,False,True
ZINC89221317,O[C@]1(c2ccc3[nH]ccc3n2)CCC[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC45026305,CC(C)C[C@H](CNc1cc(Cl)nc(N)n1)[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC97034713,C#CCSCC[NH2+][C@H]1[C@@H]2CCO[C@@H]2C12CCCC2,0,0,True,False,False,False,False,False,True
ZINC35597468,O=C(Nc1ccccn1)c1ccc(S(=O)(=O)Nc2cccnc2)o1,0,0,True,False,False,False,False,False,True
ZINC39049311,O=C=C=C1C(F)=C1C#CF,0,0,True,False,False,False,False,False,True
ZINC77303314,C[S@@](=O)CCCC/C=N/O,0,0,True,False,False,False,False,False,True
ZINC91712811,C[NH+](C)[C@@H]1CC[C@H](NC(=O)N2CCC(NC(=O)OC(C)(C)C)CC2)C1,0,0,True,False,False,False,False,False,True
ZINC02390110,S=C=NCCCl,0,0,True,False,False,False,False,False,True
ZINC34407284,FC1(F)OC(Cl)(Cl)[C@](F)(Cl)OC1(F)F,0,0,True,False,False,False,False,False,True
ZINC28047509,C=Cc1c(N)c(C#N)c2ccccn12,0,0,True,False,False,False,False,False,True
ZINC81915112,CC#C/C=C/C,0,0,True,False,False,False,False,False,True
ZINC01689780,C(#CC[NH+]1CCCC1)CCC[NH+]1CCCC1,0,0,True,False,False,False,False,False,True
