ID,SMARTS,log P,MR,Notes/Questions,Center_atom
C1,[CH4],0.1441,2.503,,C
C1,[CH3]C,0.1441,2.503,,C
C1,[CH2](C)C,0.1441,2.503,,C
C2,[CH](C)(C)C,0.0,2.4330000000000003,,C
C2,[C](C)(C)(C)C,0.0,2.4330000000000003,,C
C3,"[CH3][N,O,P,S,F,Cl,Br,I]",-0.2035,2.753,,C
C3,"[CH2X4]([N,O,P,S,F,Cl,Br,I])[A;!#1]",-0.2035,2.753,,C
C4,"[CH1X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])[A;!#1]",-0.2051,2.7310000000000003,,C
C4,"[CH0X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])([A;!#1])[A;!#1]",-0.2051,2.7310000000000003,,C
C5,[C]=[!C;A;!#1],-0.2783,5.007,,C
C6,[CH2]=C,0.1551,3.513,,C
C6,[CH1](=C)[A;!#1],0.1551,3.513,,C
C6,[CH0](=C)([A;!#1])[A;!#1],0.1551,3.513,,C
C6,[C](=C)=C,0.1551,3.513,,C
C7,[CX2]#[A;!#1],0.0017,3.888,,C
C8,[CH3]c,0.08452,2.464,,C
C9,[CH3]a,-0.1444,2.412,,C
C10,[CH2X4]a,-0.0516,2.488,,C
C11,[CHX4]a,0.1193,2.582,,C
C12,[CH0X4]a,-0.0967,2.576,,C
C13,[cH0]-[A;!C;!N;!O;!S;!F;!Cl;!Br;!I;!#1],-0.5443,4.041,,C
C14,[c][#9],0.0,3.257,,C
C15,[c][#17],0.245,3.564,,C
C16,[c][#35],0.198,3.18,,C
C17,[c][#53],0.0,3.104,,C
C18,[cH],0.1581,3.35,,C
C19,[c](:a)(:a):a,0.2955,4.346,,C
C20,[c](:a)(:a)-a,0.2713,3.904,,C
C21,[c](:a)(:a)-C,0.136,3.509,,C
C22,[c](:a)(:a)-N,0.4619,4.067,,C
C23,[c](:a)(:a)-O,0.5437,3.853,,C
C24,[c](:a)(:a)-S,0.1893,2.673,,C
C25,"[c](:a)(:a)=[C,N,O]",-0.8186,3.135,,C
C26,[C](=C)(a)[A;!#1],0.264,4.305,,C
C26,[C](=C)(c)a,0.264,4.305,,C
C26,[CH1](=C)a,0.264,4.305,,C
C26,[C]=c,0.264,4.305,,C
C27,[CX4][A;!C;!N;!O;!P;!S;!F;!Cl;!Br;!I;!#1],0.2148,2.693,,C
CS,[#6],0.08129,3.2430000000000003,,C
H1,"[#1][#6,#1]",0.123,1.057,,H
H2,"[#1]O[CX4,c]",-0.2677,1.395,,H
H2,[#1]O[!C;!N;!O;!S],-0.2677,1.395,,H
H2,[#1][!C;!N;!O],-0.2677,1.395,,H
H3,[#1][#7],0.2142,0.9627,,H
H3,[#1]O[#7],0.2142,0.9627,,H
H4,"[#1]OC=[#6,#7,O,S]",0.298,1.805,,H
H4,"[#1]O[O,S]",0.298,1.805,,H
HS,[#1],0.1125,1.112,,H
N1,[NH2+0][A;!#1],-1.019,2.262,,N
N2,[NH+0]([A;!#1])[A;!#1],-0.7096,2.173,,N
N3,[NH2+0]a,-1.027,2.827,,N
N4,"[NH1+0]([!#1;A,a])a",-0.5188,3.0,,N
N5,"[NH+0]=[!#1;A,a]",0.08387,1.757,,N
N6,"[N+0](=[!#1;A,a])[!#1;A,a]",0.1836,2.428,,N
N7,[N+0]([A;!#1])([A;!#1])[A;!#1],-0.3187,1.839,,N
N8,"[N+0](a)([!#1;A,a])[A;!#1]",-0.4458,2.819,,N
N8,[N+0](a)(a)a,-0.4458,2.819,,N
N9,[N+0]#[A;!#1],0.01508,1.725,,N
N10,"[NH3,NH2,NH;+,+2,+3]",-1.95,0.0,,N
N11,[n+0],-0.3239,2.202,,N
N12,"[n;+,+2,+3]",-1.119,0.0,,N
N13,"[NH0;+,+2,+3]([A;!#1])([A;!#1])([A;!#1])[A;!#1]",-0.3396,0.2604,,N
N13,"[NH0;+,+2,+3](=[A;!#1])([A;!#1])[!#1;A,a]",-0.3396,0.2604,,N
N13,"[NH0;+,+2,+3](=[#6])=[#7]",-0.3396,0.2604,,N
N14,"[N;+,+2,+3]#[A;!#1]",0.2887,3.359,,N
N14,"[N;-,-2,-3]",0.2887,3.359,,N
