mol_id,smiles,unbrch_alkane,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC89895493,C#CCN1CCN(C(=O)NCCc2nc(C)no2)CC1,0,0,True,False,False,False,False,False,True
ZINC63148429,F[C@H](Cl)C(F)(Cl)Cl,0,0,True,False,False,False,False,False,True
ZINC05583165,Br[C@H]1CCCCC[C@@H]1[n+]1ccccc1,0,0,True,False,False,False,False,False,True
ZINC06360406,N=C(N)/[NH+]=C(/N)[S-],0,0,True,False,False,False,False,False,True
ZINC05063745,C=CC[N+](CC=C)(CC=C)C/C=C/C[N+](CC=C)(CC=C)CC=C,0,0,True,False,False,False,False,False,True
ZINC04720905,C[C@]12S[C@]3(C)S[C@](C)(S1)S[C@](C)(S2)S3,0,0,True,False,False,False,False,False,True
ZINC53172756,CCC(CC)[C@@H](C[NH2+][C@H](C)COC)[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC44700115,Fc1[nH+]ccc2[nH]ccc12,0,0,True,False,False,False,False,False,True
ZINC13556870,O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H]1O[P@](=O)([O-])O,0,0,True,False,False,False,False,False,True
ZINC02390110,S=C=NCCCl,0,0,True,False,False,False,False,False,True
ZINC40148370,[S-][C@H]1N=N[C@@H]([C@H]2C=CC=[NH+]2)O1,0,0,True,False,False,False,False,False,True
ZINC95077571,NCC[N@@H+]1CCC2(CCOCC2)C1,0,0,True,False,False,False,False,False,True
ZINC95707494,[NH2+]=C1N=CC2=CC[N-]C2=N1,0,0,True,False,False,False,False,False,True
ZINC55167263,O=S(=O)(CCO)CC[C@H](O)S(=O)(=O)CCO,0,0,True,False,False,False,False,False,True
ZINC39095861,C1[NH2+][C@@H]2[C@H]1[C@H]1NNC[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC02386850,CN(C)C(Cl)=[N+](C)C,0,0,True,False,False,False,False,False,True
ZINC01244402,Nc1nc(N)[n+]([O-])c(N)c1N,0,0,True,False,False,False,False,False,True
ZINC81915112,CC#C/C=C/C,0,0,True,False,False,False,False,False,True
ZINC05120854,N#CC1=C([NH3+])CCCC1,0,0,True,False,False,False,False,False,True
ZINC08100876,O=C1OC(=O)C(Cl)=C1Cl,0,0,True,False,False,False,False,False,True
ZINC66087737,c1csc(-c2nnc3sc(-c4ccn5nnnc5c4)nn23)c1,0,0,True,False,False,False,False,False,True
ZINC79062025,C#CC([O-])C#C,0,0,True,False,False,False,False,False,True
ZINC13284936,CSc1[nH]c2c(=S)n(C)c(=S)n(C)c2[nH+]1,0,0,True,False,False,False,False,False,True
ZINC88465961,C=C[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)[C@H]1CC=N[C@@H]2C=CC(OC)=C[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC82029062,O=C[C@@H]1CC1(F)F,0,0,True,False,False,False,False,False,True
ZINC98044803,CC(C)(C#CI)OOC(C)(C)CCC(C)(C)OOC(C)(C)C#CI,0,0,True,False,False,False,False,False,True
