mol_id,smiles,piperdine,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC95075987,CNS(=O)(=O)[C@H](C)c1ccccn1,0,0,True,False,False,False,False,False,True
ZINC75133698,C1CN(C2CC2)C[C@H](C[NH2+]CC2CC2)O1,0,0,True,False,False,False,False,False,True
ZINC02530672,C=C(Br)[C@@](F)(OC(F)(F)F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC39049885,C#C[C@]1([O-])CC[C@@]1(C)/C=C/C,0,0,True,False,False,False,False,False,True
ZINC33791186,N[C@@H]1NC=CC=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC05453691,CCO[P@@](C)(=S)OP(=S)(N(CC)CC)N(CC)CC,0,0,True,False,False,False,False,False,True
ZINC14989407,N#CSNC(=N)N,0,0,True,False,False,False,False,False,True
ZINC34407284,FC1(F)OC(Cl)(Cl)[C@](F)(Cl)OC1(F)F,0,0,True,False,False,False,False,False,True
ZINC05063745,C=CC[N+](CC=C)(CC=C)C/C=C/C[N+](CC=C)(CC=C)CC=C,0,0,True,False,False,False,False,False,True
ZINC02507981,C1#CCCCCC#CCCCC1,0,0,True,False,False,False,False,False,True
ZINC84123040,O=c1[nH]c2c(c(=O)[nH]1)CSCC2,0,0,True,False,False,False,False,False,True
ZINC44224793,O=C([O-])CCC[NH+]1CC[N-]CC1,0,0,True,False,False,False,False,False,True
ZINC02176718,Nc1nnc(CCOCCOCCc2nnc(N)s2)s1,0,0,True,False,False,False,False,False,True
ZINC95921608,C[C@@H]1O[C@H](O)[C@@H](O)[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC13509860,O=[N+]([O-])/N=C1/[N-][C@H]2Nc3nnnn3N[C@H]2N1,0,0,True,False,False,False,False,False,True
ZINC34865862,C[NH+](C)CC#CCC[NH3+],0,0,True,False,False,False,False,False,True
ZINC16839560,CCn1c(SCCO)[nH+]c2c1c(=O)n(C)c(=O)n2C,0,0,True,False,False,False,False,False,True
ZINC45028146,O=S1(=O)C=CC[C@H](Br)C=C1,0,0,True,False,False,False,False,False,True
ZINC20840633,CC1(C)Cc2nc3sc4c(c3cc2CO1)N=CN1CCN=C41,0,0,True,False,False,False,False,False,True
ZINC95757014,FC1=CC2=C(I)N=N[C@H]2C=C1F,0,0,True,False,False,False,False,False,True
ZINC02049888,C#CCOC[C@H](O)C[n+]1ccccc1,0,0,True,False,False,False,False,False,True
ZINC39189858,O/N=C1\CCCCC1=[N+]1CCOCC1,0,0,True,False,False,False,False,False,True
ZINC02390110,S=C=NCCCl,0,0,True,False,False,False,False,False,True
ZINC07996704,CC(C)[C@@H]1[C@H]2CC[C@H](C2)[C@H]1[NH3+],0,0,True,False,False,False,False,False,True
ZINC67317218,NC(N)=N/N=C/c1ccc(/C=N/[NH+]=C(N)N)[nH]1,0,0,True,False,False,False,False,False,True
ZINC02039992,CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C,0,0,True,False,False,False,False,False,True
ZINC93461044,N#Cc1ccc2ncc(CN3CCn4c(nnc4C(F)(F)F)C3)n2c1,0,0,True,False,False,False,False,False,True
ZINC04018090,CSC1=[N+](C)NC(C)(C)N1,0,0,True,False,False,False,False,False,True
ZINC02386850,CN(C)C(Cl)=[N+](C)C,0,0,True,False,False,False,False,False,True
ZINC52530476,[O-][C@@H](C[NH2+]CCCn1cc[nH+]c1)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC03070191,C[N+](C)(C)CCC1=CCC=CC1,0,0,True,False,False,False,False,False,True
ZINC36456634,OC[C@]1([S-])C[C@@H]2[C@@H](O)CC[C@H](O)[C@H]2[NH2+]1,0,0,True,False,False,False,False,False,True
ZINC89598013,O=C(NC(C1CC1)C1CC1)[C@H]1CSCN1C(=O)C1CCC1,0,0,True,False,False,False,False,False,True
ZINC04317659,OCC[N-]C1=NC=NC2=NN=C[C@@H]21,0,0,True,False,False,False,False,False,True
